"RB","Overall","Player","Team","Bye","ESPN","Sleeper","NFL","RTSports","FFC","AVG"
"1","1","Christian McCaffrey","SF","11","1","","","1","","1.0"
"2","2","Saquon Barkley","PHI","9 ","2","","","2","","2.0"
"3","3","Ezekiel Elliott","DAL","10","3","","","3","","3.0"
"4","4","Dalvin Cook","","","4","","","4","","4.4"
"5","6","Alvin Kamara","NO","6","5","","","5","","4.6"
"6","7","Derrick Henry","BAL","7","6","","","6","","6.0"
"7","11","Clyde Edwards-Helaire","KC","10","7","","","7","","8.6"
"8","10","Joe Mixon","HOU","8","14","","","8","","9.2"
"9","9","Josh Jacobs","GB","5","8","","","11","","9.4"
"10","13","Austin Ekeler","WAS","8","13","","","10","","10.8"
"11","12","Miles Sanders","CAR","13","10","","","9","","10.8"
"12","15","Nick Chubb","CLE","9","9","","","14","","11.0"
"13","16","Kenyan Drake","","","11","","","12","","11.6"
"14","19","Aaron Jones","MIN","7","12","","","13","","12.8"
"15","29","Todd Gurley","II","","16","","","17","","16.4"
"16","27","Chris Carson","","","15","","","15","","16.8"
"17","34","James Conner","ARI","8","18","","","16","","17.6"
"18","36","David Johnson","","","17","","","18","","18.6"
"19","37","Le'Veon Bell","","","19","","","19","","19.0"
"20","43","Jonathan Taylor","IND","7","21","","","21","","19.8"
"21","39","Melvin Gordon","III","","20","","","20","","20.2"
"22","62","Leonard Fournette","","","27","","","25","","24.2"
"23","53","Raheem Mostert","MIA","7 ","25","","","22","","24.2"
"24","55","Mark Ingram","II","","24","","","26","","24.2"
"25","54","Cam Akers","MIN","7","22","","","24","","24.6"
"26","50","Devin Singletary","NYG","11","26","","","23","","24.6"
"27","59","Kareem Hunt","","","23","","","27","","26.0"
"28","66","David Montgomery","DET","5","29","","","29","","28.0"
"29","67","D'Andre Swift","CHI","11","28","","","30","","28.2"
"30","77","James White","","","36","","","31","","31.8"
"31","83","J.K. Dobbins","LAC","6","35","","","32","","33.2"
"32","85","Tarik Cohen ","","","31","","","34","","33.6"
"33","87","Ronald Jones","II","","34","","","39","","33.8"
"34","88","Phillip Lindsay","","","32","","","37","","35.0"
"35","90","Jordan Howard","","","37","","","33","","35.4"
"36","97","Antonio Gibson","NE","5","30","","","28","","37.0"
"37","93","Marlon Mack","ARI","8 ","42","","","35","","37.4"
"38","94","Kerryon Johnson","","","33","","","44","","37.8"
